,pressStart,pressStop,label,mean gyro(y),mean gyro(z)
212,1619146726121,1619146726198,2,,
213,1619146727110,1619146727192,5,,
214,1619146727854,1619146727925,3,-0.011523942735879379,0.0029796191286935348
215,1619146728570,1619146728660,6,,
216,1619146729621,1619146729711,1,0.0027312289981909713,0.002817950979598058
217,1619146730744,1619146730812,5,,
218,1619146731582,1619146731647,6,,
219,1619146732477,1619146732565,7,-0.016037804267738674,0.0026562828305025815
220,1619146733989,1619146734067,7,,
221,1619146734821,1619146734911,8,-0.014566195633668323,0.0014293176814071048
