timestamp,gyro(x),gyro(y),gyro(z)
1619039593749,-1.6784668E-4,2.593994E-4,4.5776367E-5
1619039594064,3.6621094E-4,-0.0010223389,-3.8146973E-4
1619039594265,1.5258789E-4,9.0026855E-4,1.5258789E-4
1619039594465,3.6621094E-4,1.5258789E-4,-1.6784668E-4
1619039594664,-6.1035156E-5,2.593994E-4,-1.6784668E-4
1619039594864,2.593994E-4,4.5776367E-5,-6.1035156E-5
1619039595063,1.5258789E-4,3.6621094E-4,-6.1035156E-5
1619039595263,4.5776367E-5,2.593994E-4,4.5776367E-5
1619039595466,-4.7302246E-4,4.7302246E-4,-6.1035156E-5
1619039595558,4.5776367E-5,-1.6784668E-4,-3.8146973E-4
1619039595742,-1.6784668E-4,3.6621094E-4,-6.1035156E-5
1619039595942,-1.6784668E-4,4.5776367E-5,-1.6784668E-4
1619039596146,4.5776367E-5,4.7302246E-4,-2.746582E-4
1619039596344,-1.6784668E-4,1.5258789E-4,-1.6784668E-4
1619039596542,-6.1035156E-5,-6.1035156E-5,-2.746582E-4
1619039596741,-4.8828125E-4,-2.746582E-4,-3.8146973E-4
1619039597101,4.5776367E-5,-0.0019836426,-1.6784668E-4
1619039597301,-5.950928E-4,0.0027160645,-2.746582E-4
1619039597504,-3.8146973E-4,3.6621094E-4,-3.8146973E-4
1619039597700,-1.6784668E-4,7.9345703E-4,4.5776367E-5
1619039597903,-7.9345703E-4,1.5258789E-4,-2.746582E-4
1619039659521,-3.0517578E-5,-1.9836426E-4,4.7302246E-4
1619039659722,3.9672852E-4,1.2207031E-4,1.5258789E-4
1619039659924,3.9672852E-4,2.2888184E-4,6.866455E-4
1619039660124,7.6293945E-5,1.5258789E-5,4.7302246E-4
1619039660321,1.5258789E-4,-3.0517578E-5,-1.6784668E-4
1619039660521,2.593994E-4,7.6293945E-5,-2.746582E-4
1619039660724,-2.746582E-4,-1.373291E-4,3.6621094E-4
1619039660923,3.6621094E-4,-3.0517578E-5,4.5776367E-5
1619039661123,-1.6784668E-4,7.6293945E-5,-6.1035156E-5
1619039661323,6.866455E-4,7.6293945E-5,3.6621094E-4
1619039661523,-2.746582E-4,7.6293945E-5,4.5776367E-5
1619039661718,1.5258789E-4,-3.0517578E-5,-1.6784668E-4
1619039661918,4.5776367E-5,3.9672852E-4,-4.8828125E-4
1619039662122,4.5776367E-5,5.0354004E-4,-1.6784668E-4
